participant,pair,block,trial,match_label,match_shape,trial_type,trial_label,trial_shape,response,RTms,acc
207844,2,1,18,earth,S.bmp,match,earth,S.bmp,m,37.48799999993935,1
207844,2,1,19,earth,S.bmp,mismatch,air,S.bmp,m,38.77760000023045,0
207844,2,1,20,earth,S.bmp,mismatch,sky,T.bmp,m,26.45759999995789,0
207844,2,1,21,earth,S.bmp,mismatch,sky,C.bmp,m,37.80929999993532,0
207844,2,1,22,earth,S.bmp,mismatch,sky,T.bmp,m,36.02740000042104,0
207844,2,1,23,earth,S.bmp,mismatch,air,S.bmp,m,51.73729999978604,0
207844,2,1,24,earth,S.bmp,match,earth,S.bmp,m,42.16529999985141,1
207844,2,1,25,earth,S.bmp,match,earth,S.bmp,m,62.70219999987603,1
207844,2,1,26,earth,S.bmp,match,earth,S.bmp,m,35.62440000041533,1
207844,2,1,27,earth,S.bmp,match,earth,S.bmp,m,30.10739999990619,1
207844,2,1,28,earth,S.bmp,mismatch,earth,C.bmp,m,63.705900000059046,0
207844,2,1,29,earth,S.bmp,mismatch,sky,T.bmp,m,46.64479999973991,0
207844,2,1,30,earth,S.bmp,match,earth,S.bmp,m,43.90170000033322,1
207844,2,1,31,earth,S.bmp,mismatch,sky,T.bmp,m,45.61620000004041,0
207844,2,1,32,earth,S.bmp,match,earth,S.bmp,m,47.12109999991298,1
207844,2,1,33,earth,S.bmp,mismatch,air,T.bmp,m,43.59879999992699,0
207844,2,1,34,earth,S.bmp,match,earth,S.bmp,m,40.02960000025268,1
207844,2,1,35,earth,S.bmp,mismatch,earth,T.bmp,m,42.02489999988756,0
207844,2,1,36,earth,S.bmp,mismatch,sky,C.bmp,m,41.13430000006701,0
207844,2,1,37,earth,S.bmp,mismatch,sky,S.bmp,m,69.84529999999722,0
207844,2,1,38,earth,S.bmp,mismatch,sky,S.bmp,m,62.59890000001178,0
207844,2,1,39,earth,S.bmp,mismatch,earth,T.bmp,m,49.63749999978972,0
207844,2,1,40,earth,S.bmp,mismatch,air,T.bmp,m,59.30850000004284,0
207844,2,1,41,earth,S.bmp,mismatch,earth,C.bmp,m,53.68899999984933,0
207844,2,1,42,earth,S.bmp,match,earth,S.bmp,m,68.71579999960886,1
207844,2,1,43,earth,S.bmp,mismatch,earth,C.bmp,m,61.57310000025973,0
207844,2,1,44,earth,S.bmp,match,earth,S.bmp,m,68.34029999981794,1
207844,2,1,45,earth,S.bmp,match,earth,S.bmp,m,58.94760000001042,1
207844,2,1,46,earth,S.bmp,mismatch,earth,C.bmp,m,59.05679999978019,0
207844,2,1,47,earth,S.bmp,match,earth,S.bmp,m,51.48770000005243,1
207844,2,1,48,earth,S.bmp,mismatch,air,C.bmp,m,39.69920000008642,0
207844,2,1,49,earth,S.bmp,mismatch,air,C.bmp,m,55.06500000001324,0
207844,2,1,50,earth,S.bmp,mismatch,sky,C.bmp,m,37.83049999992727,0
207844,2,1,51,earth,S.bmp,mismatch,air,T.bmp,m,40.0657999998657,0
207844,2,1,52,earth,S.bmp,mismatch,air,S.bmp,m,59.53360000012253,0
207844,2,1,53,earth,S.bmp,mismatch,sky,T.bmp,m,48.28120000001945,0
207844,2,1,54,earth,S.bmp,match,earth,S.bmp,m,46.25130000022182,1
207844,2,1,55,earth,S.bmp,mismatch,sky,S.bmp,m,56.60110000007989,0
207844,2,1,56,earth,S.bmp,mismatch,earth,T.bmp,m,36.91580000031536,0
207844,2,1,57,earth,S.bmp,mismatch,sky,S.bmp,m,25.63910000026226,0
207844,2,1,58,earth,S.bmp,mismatch,earth,T.bmp,m,74.37609999988126,0
207844,2,1,59,earth,S.bmp,match,earth,S.bmp,m,382.5704000000769,1
207844,2,1,60,earth,S.bmp,mismatch,earth,T.bmp,m,1698.2626999997592,0
207844,2,2,1,earth,S.bmp,mismatch,air,S.bmp,m,183.93349999996644,0
207844,2,2,2,earth,S.bmp,mismatch,air,C.bmp,m,434.06899999990856,0
207844,2,2,3,earth,S.bmp,mismatch,earth,C.bmp,m,47.08139999956984,0
207844,2,2,4,earth,S.bmp,match,earth,S.bmp,m,64.19710000000123,1
207844,2,2,5,earth,S.bmp,mismatch,earth,T.bmp,m,65.90560000040568,0
