tasks_loop.thisRepN,tasks_loop.thisTrialN,tasks_loop.thisN,tasks_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,define_tasks.started,define_tasks.stopped,parameters.started,parameters.stopped,select_task_and_match_pairs.started,select_task_and_match_pairs.stopped,show_match_pairs.started,instructions.started,key_resp.started,match1label.started,match2label.started,match3label.started,match1shape.started,match2shape.started,match3shape.started,show_match_pairs.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_block_count.started,init_block_count.stopped,increment_block_count.started,increment_block_count.stopped,define_trial_list.started,define_trial_list.stopped,decide_what_pair.started,decide_what_pair.stopped,fix.started,fixn.started,fixn.stopped,fix.stopped,show_a_pair.started,text_2.started,put_label.started,put_shape.started,response.started,show_a_pair.stopped,response.keys,response.rt,response.duration,eval.started,eval.stopped,feedback.started,text_4.started,feedback.stopped,write.started,task,block_count,match_1_label,match_1_shape,match_2_label,match_2_shape,match_3_label,match_3_shape,trial_index,trial_type,label,shape,response,rt,acc,write.stopped,text_4.stopped,rest.started,text.started,key_resp_2.started,rest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,the_end.started,text_3.started,the_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,0,1,0,0,0,0,0,26,0,26,0,59.15517369999998,,,,,,,,,,,,,,,,,,,,,,,,,,,59.14253370000006,59.14338570000018,59.1434261000004,59.15517369999998,59.37140850000014,59.3401702000001,59.340206100000614,59.37140850000014,59.37140850000014,59.37140850000014,59.37140850000014,59.43982740000047,n,0.05717649999951391,None,59.4406742000001,59.44125090000034,59.44127850000041,59.45497820000037,59.690008900000066,59.690049499999986,control,1,earth,S.bmp,air,C.bmp,sky,T.bmp,26,match3,sky,T.bmp,n,0.05717649999951391,0,59.69098209999993,59.705470900000364,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,0,0,0,0,27,0,27,0,59.705470900000364,,,,,,,,,,,,,,,,,,,,,,,,,,,59.69208500000059,59.69298340000023,59.69302490000064,59.705470900000364,59.90470230000028,59.88904110000021,59.8890736000003,59.90470230000028,59.90470230000028,59.90470230000028,59.90470230000028,59.95496900000035,m,0.045954100000017206,None,59.955619500000466,59.95611780000036,59.95613839999987,59.97084610000002,60.20458740000049,60.2046119000006,control,1,earth,S.bmp,air,C.bmp,sky,T.bmp,27,match3,sky,T.bmp,m,0.045954100000017206,1,60.20514610000009,60.22050459999991,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,0,0,0,0,28,0,28,0,60.22050459999991,,,,,,,,,,,,,,,,,,,,,,,,,,,60.20583760000045,60.20634320000045,60.206368800000746,60.22050459999991,60.420244700000694,60.404599400000734,60.40462480000042,60.420244700000694,60.420244700000694,60.420244700000694,60.420244700000694,60.504353600000286,m,0.0682875000002241,None,60.50506750000022,60.50552620000053,60.505548900000576,60.5200190000005,60.7546196000003,60.754647900000236,control,1,earth,S.bmp,air,C.bmp,sky,T.bmp,28,match2,air,C.bmp,m,0.0682875000002241,1,60.75531070000034,60.76992320000045,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,0,0,0,0,29,0,29,0,60.76992320000045,,,,,,,,,,,,,,,,,,,,,,,,,,,60.75610660000075,60.75672440000017,60.75675390000015,60.76992320000045,60.969500200000766,60.954492600000776,60.95452360000036,60.969500200000766,60.969500200000766,60.969500200000766,60.969500200000766,61.08730460000061,m,0.11263699999926757,None,61.08804020000025,61.088498099999924,61.088520600000265,61.10249830000066,61.338827200000196,61.338865600000645,control,1,earth,S.bmp,air,C.bmp,sky,T.bmp,29,match1,earth,S.bmp,m,0.11263699999926757,1,61.33974940000007,61.353650500000185,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,1,0,1,0,0,0,0,0,62.13620590000028,,,,,,,,,,,,,,,,,,,,,,,62.12264690000029,62.12341450000076,62.12345240000013,62.12423560000025,62.12576540000009,62.126590800000486,62.1266411000006,62.13620590000028,62.351350700000694,62.320902899999965,62.320948300000055,62.351350700000694,62.351350700000694,62.351350700000694,62.351350700000694,62.35533310000028,n,0.001239299999724608,None,62.35724120000032,62.35795159999998,62.357986100000744,62.38406400000076,62.61898740000015,62.619022300000324,control,2,earth,S.bmp,air,C.bmp,sky,T.bmp,0,match2,air,C.bmp,n,0.001239299999724608,0,62.620152400000734,,61.34000860000015,61.353650500000185,61.353650500000185,62.12102279999999,space,0.759158099999695,None,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,1,0,1,0,1,0,1,0,62.63547340000059,,,,,,,,,,,,,,,,,,,,,,,,,,,62.621416599999975,62.62237920000007,62.62242630000037,62.63547340000059,,62.83455360000062,62.834579600000325,62.8664088000005,62.8664088000005,62.8664088000005,62.8664088000005,62.985836600000766,n,0.11592259999997623,None,62.986821400000736,62.98744440000064,62.987488400000075,63.00041930000043,63.234065999999984,63.23408970000037,control,2,earth,S.bmp,air,C.bmp,sky,T.bmp,1,mismatch,earth,C.bmp,n,0.11592259999997623,1,63.23463150000043,63.25011230000018,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,1,0,1,0,2,0,2,0,63.25011230000018,,,,,,,,,,,,,,,,,,,,,,,,,,,63.23529400000007,63.23580889999994,63.235832700000174,63.25011230000018,63.45016889999988,63.434531300000344,63.4345643000006,63.45016889999988,63.45016889999988,63.45016889999988,63.45016889999988,63.48351610000009,m,0.030508499999996275,None,63.48406109999996,63.48437869999998,63.484392400000615,63.49918830000024,63.733696500000406,63.733725800000684,control,2,earth,S.bmp,air,C.bmp,sky,T.bmp,2,mismatch,earth,C.bmp,m,0.030508499999996275,0,63.73441679999996,63.74983920000068,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,1,0,1,0,3,0,3,0,63.74983920000068,,,,,,,,,,,,,,,,,,,,,,,,,,,63.735236800000166,63.73587250000037,63.73590360000071,63.74983920000068,63.949270900000556,63.93351540000003,63.933548100000735,63.949270900000556,63.949270900000556,63.949270900000556,63.949270900000556,64.03350630000023,m,0.06748479999987467,None,64.03428750000057,64.03475220000018,64.03477470000053,64.04879570000048,64.2839042000005,64.28394310000022,control,2,earth,S.bmp,air,C.bmp,sky,T.bmp,3,mismatch,air,T.bmp,m,0.06748479999987467,0,64.28487150000001,64.29957470000045,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,1,0,1,0,4,0,4,0,64.29957470000045,,,,,,,,,,,,,,,,,,,,,,,,,,,64.28595800000039,64.2868212000003,64.28686240000025,64.29957470000045,,64.49833209999997,64.4983527000004,64.5153519000005,64.5153519000005,64.5153519000005,64.5153519000005,64.58288720000019,m,0.05407240000022284,None,64.58370270000069,64.5842188000006,64.58424470000045,64.59798050000063,64.83325030000015,64.83328340000025,control,2,earth,S.bmp,air,C.bmp,sky,T.bmp,4,mismatch,sky,C.bmp,m,0.05407240000022284,0,64.8340146999999,64.84864939999989,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
1,0,1,0,1,0,1,0,5,0,5,0,64.84864939999989,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83493559999988,64.83558810000068,64.83562250000068,64.84864939999989,65.04750220000005,65.03237369999988,65.03240069999993,65.04750220000005,65.04750220000005,65.04750220000005,65.04750220000005,65.16681750000043,n,0.11653120000028139,None,65.16781100000026,65.16845470000044,65.16849880000063,65.18124239999997,65.41540179999993,65.41543550000006,control,2,earth,S.bmp,air,C.bmp,sky,T.bmp,5,mismatch,earth,T.bmp,n,0.11653120000028139,1,65.41626280000037,65.43113360000007,,,,,,,,,,,457903,001,2023-12-06_22h34.22.861,ala-gemma-3-pairs,2023.2.3,60.42237658143039,2023-12-06 22h34.29.327735 +0000,
