blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choose_match_pair.started,choose_match_pair.stopped,trial_list.started,trial_list.stopped,learn_me.started,text_2.started,text.started,image.started,dismiss_learn.started,learn_me.stopped,dismiss_learn.keys,dismiss_learn.rt,dismiss_learn.duration,choose_mismatch_pair.started,match_label,match_shape,mismatch_label,mismatch_shape,choose_mismatch_pair.stopped,choose_trial_type.started,trial_type,trial_index,trial_label,trial_shape,choose_trial_type.stopped,fix_cross.started,text_4.started,fix_cross.stopped,put.started,put_label.started,put_shape.started,trial_response.started,put.stopped,trial_response.keys,trial_response.rt,trial_response.duration,eval.started,acc,eval.stopped,text_4.stopped,rest_period.started,text_3.started,rest_period_kb.started,rest_period.stopped,rest_period_kb.keys,rest_period_kb.rt,rest_period_kb.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,36,0,36,0,37.82030719999966,,,,,,,,,,,,,,,37.8055848999993,£50,D.bmp,£100,P.bmp,37.80585319999955,37.80586640000001,mismatch,36,£100,P.bmp,37.80612219999966,37.806135200000426,37.82030719999966,38.30429689999983,38.30430840000008,38.32117069999913,38.32117069999913,38.32117069999913,38.4548223999991,m,0.12251180000021122,None,38.4554033000004,0,38.45565119999992,38.32117069999913,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,37,0,37,0,38.47072339999977,,,,,,,,,,,,,,,38.45606919999955,£50,D.bmp,£0,O.bmp,38.456331899998986,38.45634489999975,match,37,£50,D.bmp,38.45660080000016,38.45661350000046,38.47072339999977,38.95496579999963,38.95497769999929,38.97178890000032,38.97178890000032,38.97178890000032,39.20554179999999,n,0.23227150000093388,None,39.20612859999892,0,39.206377200000134,38.97178890000032,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,38,0,38,0,39.22154500000033,,,,,,,,,,,,,,,39.2067962000001,£50,D.bmp,£100,O.bmp,39.20705950000047,39.20707229999971,mismatch,38,£100,O.bmp,39.207325199999104,39.20733819999987,39.22154500000033,39.70572879999963,39.70573990000048,39.72250359999998,39.72250359999998,39.72250359999998,39.98965309999949,n,0.2647084000000177,None,39.990241600000445,1,39.99049430000014,39.72250359999998,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,39,0,39,0,40.00552169999901,,,,,,,,,,,,,,,39.99090939999951,£50,D.bmp,£0,O.bmp,39.99119249999967,39.99120539999967,mismatch,39,£0,O.bmp,39.99146049999945,39.991473199999746,40.00552169999901,40.48966870000004,40.4896805999997,40.506529299998874,40.506529299998874,40.506529299998874,40.57346399999915,m,0.05735699999968347,None,40.574047599999176,0,40.57429950000005,40.506529299998874,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,40,0,40,0,40.58949120000034,,,,,,,,,,,,,,,40.57471439999972,£50,D.bmp,£0,D.bmp,40.57498349999878,40.57499639999878,mismatch,40,£0,D.bmp,40.575249699999404,40.575262599999405,40.58949120000034,41.0738812999989,41.07389299999886,41.09039879999909,41.09039879999909,41.09039879999909,41.20721599999888,n,0.10507560000041849,None,41.20780439999908,1,41.20805389999987,41.09039879999909,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,41,0,41,0,41.223396199999115,,,,,,,,,,,,,,,41.208472399999664,£50,D.bmp,£100,O.bmp,41.20873550000033,41.20874829999957,match,41,£50,D.bmp,41.209001699999135,41.209014599999136,41.223396199999115,41.707782399998905,41.707801700000346,41.724361299999146,41.724361299999146,41.724361299999146,41.80840419999913,m,0.07124359999943408,None,41.809441100000186,1,41.809875199998714,41.724361299999146,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,42,0,42,0,41.823992100000396,,,,,,,,,,,,,,,41.81063879999965,£50,D.bmp,£100,O.bmp,41.81107390000034,41.81109639999886,match,42,£50,D.bmp,41.81151499999942,41.811541099999886,41.823992100000396,42.30827949999912,42.3082988999995,42.3249238999997,42.3249238999997,42.3249238999997,42.37550569999985,n,0.03833699999995588,None,42.37654669999938,0,42.37696049999977,42.3249238999997,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,43,0,43,0,42.39124409999931,,,,,,,,,,,,,,,42.37772789999872,£50,D.bmp,£0,P.bmp,42.37815760000012,42.37818369999877,mismatch,43,£0,P.bmp,42.378599399999075,42.37862139999925,42.39124409999931,42.87560709999889,42.87562539999999,42.89211929999874,42.89211929999874,42.89211929999874,42.9761268000002,n,0.07176470000013069,None,42.97716709999986,1,42.97758149999936,42.89211929999874,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,44,0,44,0,42.991726299998845,,,,,,,,,,,,,,,42.978340699999535,£50,D.bmp,£0,P.bmp,42.97878169999967,42.978807499999675,match,44,£50,D.bmp,42.979224700000486,42.979246999999305,42.991726299998845,43.47605579999981,43.47607500000049,43.492646599999716,43.492646599999716,43.492646599999716,43.76019189999897,n,0.25479839999934484,None,43.7612337999999,0,43.761671999998725,43.492646599999716,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,45,0,45,0,43.77583059999961,,,,,,,,,,,,,,,43.762432999999874,£50,D.bmp,£100,O.bmp,43.76286579999942,43.762888199999,mismatch,45,£100,O.bmp,43.76330129999951,43.76332699999875,43.77583059999961,44.260097999998834,44.260117300000275,44.27674339999976,44.27674339999976,44.27674339999976,44.360717899999145,m,0.08028580000063812,None,44.361757299999226,0,44.362176499998895,44.27674339999976,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,46,0,46,0,44.37633470000037,,,,,,,,,,,,,,,44.36293099999966,£50,D.bmp,£50,O.bmp,44.36337029999959,44.363392600000225,match,46,£50,D.bmp,44.36380579999968,44.363827400000446,44.37633470000037,44.86066949999986,44.86068879999948,44.87732370000049,44.87732370000049,44.87732370000049,45.37778109999999,m,0.49455200000011246,None,45.3784126999999,1,45.37867489999917,44.87732370000049,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,47,0,47,0,45.393836699999156,,,,,,,,,,,,,,,45.37912899999901,£50,D.bmp,£0,P.bmp,45.379403799999636,45.37941729999875,mismatch,47,£0,P.bmp,45.37968389999878,45.379696899999544,45.393836699999156,45.877926499999376,45.87793839999904,45.894718399998965,45.894718399998965,45.894718399998965,46.478808500000014,m,0.5743760999994265,None,46.479439799999454,0,46.47970249999889,45.894718399998965,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,48,0,48,0,46.49483770000006,,,,,,,,,,,,,,,46.48015850000047,£50,D.bmp,£0,D.bmp,46.48043719999987,46.48045049999928,mismatch,48,£0,D.bmp,46.48071429999982,46.48072759999923,46.49483770000006,46.97884089999934,46.97885329999917,46.99576299999899,46.99576299999899,46.99576299999899,47.07929089999925,n,0.07175959999949555,None,47.0799205000003,1,47.08018549999906,46.99576299999899,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
